Number,User Query,ServiceNow Glide Record Query
328,Find all physical workstations.,sys_class_name=cmdb_ci_computer^virtual=false^subclass=Workstation
329,How many Linux database servers are there?,os=Linux^sys_class_name=cmdb_ci_db_server
330,Display all Windows database servers.,os=Windows^sys_class_name=cmdb_ci_db_server
331,List all network appliances.,sys_class_name=cmdb_ci_network_appliance
332,Show all Windows storage devices.,os=Windows^sys_class_name=cmdb_ci_storage
333,Find all Linux storage devices.,os=Linux^sys_class_name=cmdb_ci_storage
334,How many VMware instances are there?,sys_class_name=cmdb_ci_vmware_instance
335,List all Kubernetes clusters.,sys_class_name=cmdb_ci_kubernetes
336,Show all Docker containers.,sys_class_name=cmdb_ci_docker_container
337,Find all virtual desktops.,sys_class_name=cmdb_ci_virtual_desktop
338,How many Unix database instances are there?,os=Unix^sys_class_name=cmdb_ci_db_instance
339,Display all Linux web servers.,os=Linux^sys_class_name=cmdb_ci_web_server
340,List all Windows web servers.,os=Windows^sys_class_name=cmdb_ci_web_server
341,Show all Unix storage devices.,os=Unix^sys_class_name=cmdb_ci_storage
342,Find all Windows middleware servers.,os=Windows^sys_class_name=cmdb_ci_middleware
343,How many Linux middleware servers are there?,os=Linux^sys_class_name=cmdb_ci_middleware
344,List all Unix servers in the data center.,os=Unix^location=Data Center^sys_class_name=cmdb_ci_server
345,Show all physical desktops.,sys_class_name=cmdb_ci_computer^virtual=false^subclass=Desktop
346,Find all application clusters.,sys_class_name=cmdb_ci_app_cluster
347,How many Linux network devices are there?,os=Linux^sys_class_name=cmdb_ci_network
348,Display all Windows network devices.,os=Windows^sys_class_name=cmdb_ci_network
349,List all Unix network devices.,os=Unix^sys_class_name=cmdb_ci_network
350,Show all Windows backup devices.,os=Windows^sys_class_name=cmdb_ci_backup
351,Find all Linux backup devices.,os=Linux^sys_class_name=cmdb_ci_backup
352,How many Unix backup devices are there?,os=Unix^sys_class_name=cmdb_ci_backup
353,Display all network interfaces.,sys_class_name=cmdb_ci_network_interface
354,List all Windows printers.,os=Windows^sys_class_name=cmdb_ci_printer
355,Show all Linux printers.,os=Linux^sys_class_name=cmdb_ci_printer
356,Find all Unix printers.,os=Unix^sys_class_name=cmdb_ci_printer
357,How many Windows laptops are in the CMDB?,os=Windows^sys_class_name=cmdb_ci_computer^subclass=Laptop
358,Display all Unix laptops.,os=Unix^sys_class_name=cmdb_ci_computer^subclass=Laptop
359,List all Unix application servers.,os=Unix^sys_class_name=cmdb_ci_appl_server
360,Show all Windows application servers.,os=Windows^sys_class_name=cmdb_ci_appl_server
361,Find all Unix database servers.,os=Unix^sys_class_name=cmdb_ci_db_server
362,How many Unix virtual machines are there?,os=Unix^sys_class_name=cmdb_ci_vm_instance
363,Display all cloud application services.,sys_class_name=cmdb_ci_service_discovered^discovery_source=cloud
364,List all Unix cloud resources.,os=Unix^sys_class_name=cmdb_ci_cloud_resource
365,Show all Linux cloud resources.,os=Linux^sys_class_name=cmdb_ci_cloud_resource
366,Find all Windows cloud resources.,os=Windows^sys_class_name=cmdb_ci_cloud_resource
367,How many Linux SAN devices are there?,os=Linux^sys_class_name=cmdb_ci_storage^storage_type=SAN
368,Display all Unix SAN devices.,os=Unix^sys_class_name=cmdb_ci_storage^storage_type=SAN
369,List all Windows SAN devices.,os=Windows^sys_class_name=cmdb_ci_storage^storage_type=SAN
370,Show all Unix workstations.,os=Unix^sys_class_name=cmdb_ci_computer^subclass=Workstation
371,Find all Windows enterprise applications.,os=Windows^sys_class_name=cmdb_ci_enterprise_app
372,How many Linux enterprise applications are there?,os=Linux^sys_class_name=cmdb_ci_enterprise_app
